Date,AABA_Close,AABA_Volume,AAPL_Close,AAPL_Volume,AMZN_Close,AMZN_Volume,AXP_Close,AXP_Volume,BA_Close,BA_Volume,CAT_Close,CAT_Volume,CSCO_Close,CSCO_Volume,GE_Close,GE_Volume,GOOGL_Close,GOOGL_Volume,IBM_Close,IBM_Volume,MSFT_Close,MSFT_Volume,XOM_Close,XOM_Volume
03/01/2006,40.91,24232729,10.68,201853036,47.58,7582127,52.58,7825700,70.44,4943100,57.8,3697500,17.45,55432166,35.37,33221400,217.83,13137450,82.06,11715200,26.84,79974418,58.47,23873200
04/01/2006,40.97,20553479,10.71,155225609,47.25,7440914,51.95,5729400,71.17,3165000,59.27,4577200,17.85,80409776,35.32,24017300,222.84,15292353,81.95,9840600,26.97,57975661,58.57,19086600
05/01/2006,41.53,12829610,10.63,112396081,47.65,5417258,52.5,3926000,70.33,4598300,59.27,4590700,18.35,118588943,35.23,18860400,225.85,10815661,82.5,7213500,26.99,48247610,58.28,17158600
06/01/2006,43.21,29422828,10.9,176139334,47.87,6154285,52.68,4137800,69.35,4820200,60.45,5692300,18.77,122450979,35.47,22085300,233.06,17759521,84.95,8197400,26.91,100969092,59.43,17370000
09/01/2006,43.42,16268338,10.86,168861224,47.08,8945056,53.99,6093300,68.77,4567700,61.55,4409300,19.06,78604868,35.38,20716900,233.68,12795837,83.73,6858200,26.86,55627836,59.4,17339500
10/01/2006,42.98,16288580,11.55,570088246,45.65,9686957,53.83,4894100,69.1,3869000,61.3,3188100,18.97,73839465,35.19,21044000,235.11,9104719,84.07,5701000,27,64924946,59.86,17913400
11/01/2006,41.87,26192772,11.99,373548882,44.93,8497383,53.54,4611800,70.1,5011900,61.33,2755600,19.4,73964864,35.43,22394700,236.05,9008664,84.17,5776500,27.29,70123544,60.27,17327100
12/01/2006,40.89,18921686,12.04,320201966,44.36,5818301,53.55,2995000,69.69,2347000,62.21,5322500,19.2,59581203,35,22159800,232.05,10125212,83.57,4926500,27.14,45994725,59.64,21130500
13/01/2006,39.9,30966185,12.23,194153393,44.4,4432237,53.44,7639300,69.48,2963700,62.33,1936700,18.92,52389265,35.1,17221300,233.36,7660220,83.17,6921700,27.19,41449046,60.97,17075900
17/01/2006,40.11,42429911,12.1,209215265,44,5635225,52.96,4915200,68.69,2712900,62.96,3623300,18.68,53133127,34.94,16069600,233.79,8335300,83,8761700,26.99,58574807,61.54,18193400
18/01/2006,35.18,118670393,11.78,303279501,44.32,8744464,52.86,5606100,68.41,2659400,62.33,3656100,18.73,69496410,34.79,20206900,222.68,20511176,84.46,11032800,26.83,52495587,61.09,16232700
19/01/2006,34.33,60918436,11.29,424100026,44.45,5156990,52.59,4638700,68.17,2642700,62.51,2375600,19.02,54525205,34.68,29324700,218.44,14539830,83.09,6484000,27.02,60382450,61.5,18863000
20/01/2006,33.74,57681688,10.87,284634847,43.92,8344332,51.4,11886200,66.5,6436700,60.78,4441300,18.51,77920352,33.37,88194300,199.93,41182889,81.36,8614500,26.41,79228490,60.53,25995600
23/01/2006,34.17,30894265,11.1,264942587,43.73,5752811,51.44,10460600,67.02,4067400,61.04,2710500,18.16,54554500,33.29,38814400,213.96,22768073,81.41,6114100,26.35,47971611,61.2,19545900
24/01/2006,34.87,31686324,10.86,285661873,44.02,4342401,52.82,8565200,67.66,3581900,61.35,3291600,18.33,50575291,32.96,46481000,221.74,15468453,80.85,6069000,26.28,63061743,60.96,18075000
25/01/2006,34.49,23786001,10.6,319019939,43.6,4287595,52.9,7591100,66.91,3722700,62.07,4772400,18.57,51621583,32.76,51389200,216.72,18746567,80.91,6374300,26.4,59072711,60.21,24510200
26/01/2006,35.17,28480917,10.33,295599087,44.68,4890969,53.32,5302200,68.72,4768400,65.17,10318100,18.58,64902693,33.02,48855800,217.35,12931382,80.72,7810200,26.5,69531321,59.95,24562800
27/01/2006,35.09,24325960,10.29,238597205,45.22,4174089,53.3,6928900,68.56,3954700,67.53,7588000,18.78,48721418,32.95,43319000,216.96,8459747,81.02,6103400,27.79,134525193,61.29,21407600
30/01/2006,35.05,29030615,10.71,349600251,44.96,4099826,52.68,6335800,69.03,2048100,67.01,5077400,18.89,43844262,32.93,35387500,213.62,8596167,81.63,5325100,28,103999604,63.11,29444900
31/01/2006,34.38,36538014,10.79,228385745,44.82,4056024,52.45,5701300,68.31,4095000,67.9,5674400,18.57,64726297,32.75,39702000,216.55,22449604,81.3,6771600,28.15,94844406,62.75,24269200
01/02/2006,35,43601750,10.77,130335751,43.98,7501585,52.62,3847400,71.62,11806100,69.24,4826100,18.58,53735450,33.14,38067400,201.09,27132792,81.94,5417100,28.04,68437410,61.95,20581800
02/02/2006,34.25,18325852,10.3,176898442,42.74,23739052,52.56,5521200,71.7,6603100,68.39,4605500,18.37,40285246,32.9,30469400,198.22,11810931,81.23,6198000,27.68,55078684,61.95,21403400
03/02/2006,33.54,32640102,10.26,173040616,38.33,33532893,52.33,4008900,70.87,3786900,68.13,3529800,18.15,71697239,32.85,25828100,190.97,18286547,79.97,9852700,27.54,75023515,61.39,18829100
06/02/2006,32.92,23527156,9.61,413058506,37.95,8503296,52.22,2948400,71.14,3163000,68.7,3745900,17.83,51813504,32.75,23163900,192.74,8948485,79.51,9568600,27.17,60175657,61.97,18763400
07/02/2006,33.02,37249236,9.66,347308367,37.52,7404668,52.07,3506400,71.55,4247000,67.16,4909100,18.09,79062409,32.31,36799700,184.14,16640139,79.85,5253600,26.94,72188789,60.55,21137800
08/02/2006,33,28115179,9.83,238316400,38.17,7544646,52.73,5284600,71.76,2891100,68.81,3569100,19.4,200897311,32.74,26757200,184.72,20818364,80.8,5030500,26.91,51796468,60.39,21988500
09/02/2006,32.5,25341881,9.28,287548464,37.99,6932766,53.04,4959000,72.01,4149200,68.45,4017700,19.55,119727309,32.92,26324200,179.56,11913420,80.4,7609200,26.66,52861644,59.92,22554900
10/02/2006,32.51,19628507,9.62,440118924,38.52,5011791,53,3741400,72.53,2813100,68.75,3167900,19.76,73782485,33.28,26560500,181.49,15223458,81.33,5371900,26.69,52127000,59.43,26186400
13/02/2006,32.04,26141351,9.24,220907862,37.86,4750381,53.02,3812100,72.11,3294600,68.62,2838400,19.55,58623290,33.25,20007900,173.02,19724806,80.44,5257400,26.39,46710435,59.6,16837100
14/02/2006,32.72,26217040,9.66,290278597,38.25,4514262,53.51,4900700,72.71,4160400,70.22,4532600,19.7,55794058,33.46,29266400,171.83,14658822,81.09,6075500,26.65,58434046,59.55,21023400
15/02/2006,33.02,19550488,9.89,290010133,39.26,6902712,54.19,4576100,72.45,2797800,71.6,4396500,19.94,65072426,33.46,18832800,171.36,12950205,80.85,5052000,26.88,62811407,59.76,21673200
16/02/2006,32.75,19619753,10.08,238485674,39.15,5685345,54.48,4240600,72.55,2216800,71.96,3483300,19.98,47370983,33.35,23893100,183.41,21346655,80.91,5310500,26.81,49509025,60.25,20057500
17/02/2006,32.76,12620166,10.04,143999667,39.19,4581764,54.45,4385800,72.96,2670700,72.05,4767900,19.86,35965898,33.61,25349200,184.56,14320187,80.71,5298900,26.7,41513193,60.55,19199900
21/02/2006,32.39,14338713,9.87,194941775,38.29,5056134,53.86,3990900,73.05,3333000,72.59,3956800,19.58,47669568,33.36,19914100,183.48,8690747,80.5,5839100,26.54,50216190,60.76,17652900
22/02/2006,33.16,18433966,10.19,244625822,38.72,7357544,54.84,6256200,74.39,5008400,73.06,5532000,19.67,57721243,33.64,25724600,182.93,6480739,81.35,5294300,26.72,43045961,60.26,15710600
23/02/2006,33.15,15427590,10.25,214376771,37.9,9287561,54.57,4328300,73.9,2574300,72.35,4974100,19.72,48177258,33.26,22148500,189.22,12555816,80.2,4979900,26.66,48162886,59.83,17761700
24/02/2006,33.01,10136525,10.21,133695940,38.35,3720719,54.87,2890200,74.31,2657100,72.7,2924100,19.85,37446288,33.14,18275300,188.89,6486245,80.1,3904100,26.63,44755831,60.42,13191700
27/02/2006,32.74,11826242,10.14,197844178,38.01,4449169,54.74,2582500,74.13,1974100,73.5,3217900,19.97,55855826,33.32,19328500,195.38,10218579,80.63,3787200,27.05,51459788,59.92,12552500
28/02/2006,32.06,39929675,9.78,316873795,37.44,9151537,53.88,8026700,72.69,3903600,73.08,4444400,20.24,137102013,32.87,27701000,181.49,39446833,80.24,5960700,26.87,65037794,59.37,19193300
01/03/2006,32.18,18590783,9.87,190969667,37.12,6982125,54.12,2956800,72.95,2047500,74.39,4193400,21.06,160379953,32.76,24534600,182.58,12065342,79.9,5211600,27.14,53070445,60.34,16380400
02/03/2006,31.7,23495772,9.94,156396212,36.88,11584724,53.78,4595300,72.8,1781000,74.34,2247700,20.88,69236901,32.85,25139800,188.41,18340198,79.94,4418800,26.97,41856388,60.85,19730500
03/03/2006,31.45,23215697,9.67,184453752,37.21,6044967,53.75,3756200,73.39,2707900,74.61,3397300,21.04,76434649,33.06,25579500,189.28,11965401,79.96,4354400,26.93,45234151,60.98,18222100
06/03/2006,31.57,17212950,9.35,228326098,36.86,4258307,53.75,3676400,72.63,2347000,73.22,5497000,21.05,85159302,33.1,21410700,184.23,8944987,80,4709500,26.91,53074268,59.98,16294100
07/03/2006,31.43,23370264,9.47,218252139,36.93,4722841,53.59,4394200,73.16,1919500,73.04,4904800,20.87,47525722,33.15,21748800,182.41,10458838,80.29,4330800,27.06,51632001,59.85,18676200
08/03/2006,30.99,20922528,9.38,163362941,36.81,6237141,53.84,5726400,72.82,3173300,72.4,7726100,20.86,54439388,33.43,25081600,177.12,11789648,81.14,5570000,27.25,57554578,59.71,22159700
09/03/2006,30.28,18287116,9.13,200066888,36.12,7200162,53.2,5611500,73.76,3000800,71.4,5101600,20.44,45642900,33.2,24211600,171.67,13930023,81.02,4310700,27,45384011,58.92,21827900
